Date,Close,Open,High,Low,Volume,변동 %
2019-01-11,11400 ,11400 ,11500 ,11250 ,62.39K,-0.44%
2019-01-14,11250 ,11400 ,11400 ,11200 ,72.81K,-1.32%
2019-01-15,11350 ,11250 ,11500 ,11100 ,125.17K,0.89%
2019-01-16,11300 ,11350 ,11350 ,11150 ,92.84K,-0.44%
2019-01-17,11250 ,11300 ,11550 ,11200 ,122.71K,-0.44%
2019-01-18,11250 ,11350 ,11350 ,11100 ,148.70K,0.00%
2019-01-21,11200 ,11250 ,11300 ,11050 ,104.59K,-0.44%
2019-01-22,11600 ,11150 ,11600 ,11050 ,189.05K,3.57%
2019-01-23,11500 ,11500 ,11850 ,11400 ,136.86K,-0.86%
2019-01-24,11400 ,11500 ,11650 ,11350 ,129.52K,-0.87%
2019-01-25,12300 ,11450 ,12850 ,11400 ,734.67K,7.89%
2019-01-28,12400 ,12200 ,12650 ,12050 ,250.44K,0.81%
2019-01-29,12300 ,12200 ,12400 ,12100 ,116.90K,-0.81%
2019-01-30,12400 ,12250 ,12700 ,12250 ,196.89K,0.81%
2019-01-31,12500 ,12400 ,12800 ,12400 ,200.03K,0.81%
2019-02-01,12250 ,12450 ,12600 ,12100 ,144.52K,-2.00%
2019-02-07,12500 ,12200 ,12500 ,12150 ,147.95K,2.04%
2019-02-08,12500 ,12350 ,12550 ,12200 ,142.10K,0.00%
2019-02-11,12700 ,12500 ,12850 ,12350 ,180.36K,1.60%
2019-02-12,12500 ,12750 ,12800 ,12400 ,124.37K,-1.57%
2019-02-13,12550 ,12350 ,12600 ,12200 ,126.85K,0.40%
2019-02-14,13050 ,12500 ,13050 ,12450 ,259.53K,3.98%
2019-02-15,12700 ,13050 ,13050 ,12550 ,168.22K,-2.68%
2019-02-18,13000 ,12650 ,13200 ,12550 ,176.47K,2.36%
2019-02-19,13200 ,12900 ,13400 ,12850 ,177.22K,1.54%
2019-02-20,13800 ,13200 ,13900 ,13050 ,294.81K,4.55%
2019-02-21,13850 ,13800 ,14150 ,13650 ,221.48K,0.36%
2019-02-22,13800 ,13850 ,14050 ,13650 ,156.52K,-0.36%
2019-02-25,14900 ,13800 ,14950 ,13750 ,514.06K,7.97%
2019-02-26,14900 ,15000 ,15350 ,14550 ,319.93K,0.00%
2019-02-27,15200 ,14900 ,15250 ,14650 ,277.55K,2.01%
2019-02-28,14550 ,15200 ,15700 ,14150 ,504.00K,-4.28%
2019-03-04,15450 ,15050 ,15650 ,15000 ,368.28K,6.19%
2019-03-05,15150 ,15550 ,15600 ,14800 ,243.79K,-1.94%
2019-03-06,14550 ,15150 ,15150 ,14450 ,202.43K,-3.96%
2019-03-07,14300 ,14550 ,15000 ,14100 ,209.49K,-1.72%
2019-03-08,14250 ,14400 ,14400 ,14000 ,134.77K,-0.35%
2019-03-11,14950 ,14300 ,15000 ,13850 ,224.35K,4.91%
2019-03-12,14750 ,15000 ,15100 ,14500 ,211.41K,-1.34%
2019-03-13,14850 ,14900 ,15250 ,14650 ,210.85K,0.68%
2019-03-14,14750 ,15100 ,15250 ,14750 ,250.56K,-0.67%
2019-03-15,14550 ,14700 ,14800 ,14150 ,212.04K,-1.36%
2019-03-18,14300 ,14550 ,14550 ,14100 ,127.88K,-1.72%
2019-03-19,13800 ,14200 ,14450 ,13750 ,272.47K,-3.50%
2019-03-20,14100 ,13850 ,14100 ,13400 ,183.70K,2.17%
2019-03-21,13700 ,14000 ,14000 ,13600 ,132.17K,-2.84%
2019-03-22,13700 ,13950 ,13950 ,13400 ,142.79K,0.00%
